"Step","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_15-17-40_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_14-02-10_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-41-29_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_12-10-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_11-24-50_CO3D_NeMo_Rec_local - train/loss__MAX","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MIN","08-04_10-53-57_CO3D_NeMo_Rec_local - train/loss__MAX","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MIN","08-03_23-34-45_CO3D_NeMo_Rec_local - train/loss__MAX"
"1","5.041962623596191","5.041962623596191","5.041962623596191","5.027871131896973","5.027871131896973","5.027871131896973","5.089110851287842","5.089110851287842","5.089110851287842","0.3316461145877838","0.3316461145877838","0.3316461145877838","5.100128173828125","5.100128173828125","5.100128173828125","0.21592696011066437","0.21592696011066437","0.21592696011066437","0.28837841749191284","0.28837841749191284","0.28837841749191284"
"2","4.8327436447143555","4.8327436447143555","4.8327436447143555","4.7897210121154785","4.7897210121154785","4.7897210121154785","4.881808280944824","4.881808280944824","4.881808280944824","-0.09584164619445801","-0.09584164619445801","-0.09584164619445801","4.85133695602417","4.85133695602417","4.85133695602417","-0.10148870944976807","-0.10148870944976807","-0.10148870944976807","-0.14210999011993408","-0.14210999011993408","-0.14210999011993408"
"3","4.335397720336914","4.335397720336914","4.335397720336914","4.254659652709961","4.254659652709961","4.254659652709961","4.406269073486328","4.406269073486328","4.406269073486328","-0.11972451210021973","-0.11972451210021973","-0.11972451210021973","4.3528666496276855","4.3528666496276855","4.3528666496276855","-0.1436815857887268","-0.1436815857887268","-0.1436815857887268","-0.2084255814552307","-0.2084255814552307","-0.2084255814552307"
"4","4.38324499130249","4.38324499130249","4.38324499130249","4.304275035858154","4.304275035858154","4.304275035858154","4.456727504730225","4.456727504730225","4.456727504730225","-0.12653833627700806","-0.12653833627700806","-0.12653833627700806","4.401411056518555","4.401411056518555","4.401411056518555","-0.14948010444641113","-0.14948010444641113","-0.14948010444641113","-0.22498738765716553","-0.22498738765716553","-0.22498738765716553"
"5","4.363132476806641","4.363132476806641","4.363132476806641","4.304125785827637","4.304125785827637","4.304125785827637","4.44172477722168","4.44172477722168","4.44172477722168","-0.36607450246810913","-0.36607450246810913","-0.36607450246810913","4.378993988037109","4.378993988037109","4.378993988037109","-0.4063968062400818","-0.4063968062400818","-0.4063968062400818","-0.4398036599159241","-0.4398036599159241","-0.4398036599159241"
"6","4.173453330993652","4.173453330993652","4.173453330993652","4.136343479156494","4.136343479156494","4.136343479156494","4.278237819671631","4.278237819671631","4.278237819671631","-0.14647173881530762","-0.14647173881530762","-0.14647173881530762","4.179772853851318","4.179772853851318","4.179772853851318","-0.2580377459526062","-0.2580377459526062","-0.2580377459526062","-0.25375086069107056","-0.25375086069107056","-0.25375086069107056"
"7","4.779292583465576","4.779292583465576","4.779292583465576","4.67698335647583","4.67698335647583","4.67698335647583","4.920384407043457","4.920384407043457","4.920384407043457","-0.11904066801071167","-0.11904066801071167","-0.11904066801071167","4.795450210571289","4.795450210571289","4.795450210571289","-0.12122267484664917","-0.12122267484664917","-0.12122267484664917","-0.2177547812461853","-0.2177547812461853","-0.2177547812461853"
"8","4.657237529754639","4.657237529754639","4.657237529754639","4.60340690612793","4.60340690612793","4.60340690612793","4.786904335021973","4.786904335021973","4.786904335021973","-0.18326079845428467","-0.18326079845428467","-0.18326079845428467","4.664193153381348","4.664193153381348","4.664193153381348","-0.20213717222213745","-0.20213717222213745","-0.20213717222213745","-0.3500595688819885","-0.3500595688819885","-0.3500595688819885"
"9","3.9291422367095947","3.9291422367095947","3.9291422367095947","3.846811532974243","3.846811532974243","3.846811532974243","4.108584403991699","4.108584403991699","4.108584403991699","-0.15551409125328064","-0.15551409125328064","-0.15551409125328064","3.941239833831787","3.941239833831787","3.941239833831787","-0.15398463606834412","-0.15398463606834412","-0.15398463606834412","-0.2723654508590698","-0.2723654508590698","-0.2723654508590698"
"10","4.287972927093506","4.287972927093506","4.287972927093506","4.2220845222473145","4.2220845222473145","4.2220845222473145","4.481386184692383","4.481386184692383","4.481386184692383","-0.0511111319065094","-0.0511111319065094","-0.0511111319065094","4.299378871917725","4.299378871917725","4.299378871917725","-0.2344280183315277","-0.2344280183315277","-0.2344280183315277","-0.2712017297744751","-0.2712017297744751","-0.2712017297744751"
